COUNTRY,DATE,GROUP,COVID_VACCINE_ADM_1D,COVID_VACCINE_COV_1D,POPULATION,QUARTER,YEAR
IRL,2024-07-01,hcw,2293.000000000,0.007956115,288206.000000000,2,2024
IRN,2024-04-01,hcw,0.000000000,0.000000000,818176.000000000,1,2024
KGZ,2024-04-01,hcw,721.000000000,0.007591951,94969.000000000,1,2024
KNA,2024-04-01,hcw,0.000000000,0.000000000,2300.000000000,1,2024
LAO,2024-04-01,hcw,15.000000000,0.000863160,17378.000000000,1,2024
LVA,2024-07-01,hcw,3.000000000,0.000053012,56591.000000000,2,2024
MDA,2024-04-01,hcw,179.000000000,0.002442419,73288.000000000,1,2024
MDA,2024-07-01,hcw,202.000000000,0.002756249,73288.000000000,2,2024
MEX,2024-04-01,hcw,99430.000000000,0.062156803,1599664.000000000,1,2024
MNE,2024-04-01,hcw,5.000000000,0.000387447,12905.000000000,1,2024
MSR,2024-07-01,hcw,0.000000000,,,2,2024
NER,2024-04-01,hcw,300.000000000,0.006783033,44228.000000000,1,2024
NOR,2024-07-01,hcw,94.000000000,0.000166577,564302.000000000,2,2024
OMN,2024-04-01,hcw,11.000000000,0.000110109,99901.000000000,1,2024
OMN,2024-07-01,hcw,4.000000000,0.000040040,99901.000000000,2,2024
PAN,2024-04-01,hcw,1485.000000000,0.014483848,102528.000000000,1,2024
PAN,2024-07-01,hcw,20.000000000,0.000195069,102528.000000000,2,2024
PER,2024-04-01,hcw,23853.000000000,0.061312146,389042.000000000,1,2024
PNG,2024-04-01,hcw,128.000000000,0.008956059,14292.000000000,1,2024
PRT,2024-04-01,hcw,4664.000000000,0.010100376,461765.000000000,1,2024
PRT,2024-07-01,hcw,4770.000000000,0.010329930,461765.000000000,2,2024
PRY,2024-04-01,hcw,2961.000000000,0.022892796,129342.000000000,1,2024
PRY,2024-07-01,hcw,5735.000000000,0.044339812,129342.000000000,2,2024
PSE,2024-04-01,hcw,0.000000000,,,1,2024
PSE,2024-07-01,hcw,0.000000000,,,2,2024
SEN,2024-04-01,hcw,3.000000000,0.000045781,65530.000000000,1,2024
SEN,2024-07-01,hcw,4.000000000,0.000061041,65530.000000000,2,2024
SLV,2024-04-01,hcw,1001.000000000,0.014751610,67857.000000000,1,2024
SLV,2024-07-01,hcw,1340.000000000,0.019747410,67857.000000000,2,2024
SMR,2024-04-01,hcw,0.000000000,0.000000000,1697.000000000,1,2024
SMR,2024-07-01,hcw,0.000000000,0.000000000,1697.000000000,2,2024
SYC,2024-04-01,hcw,0.000000000,0.000000000,1064.000000000,1,2024
SYR,2024-04-01,hcw,104.000000000,0.000548292,189680.000000000,1,2024
TCA,2024-04-01,hcw,0.000000000,,,1,2024
UZB,2024-04-01,hcw,6.000000000,0.000007142,840120.000000000,1,2024
UZB,2024-07-01,hcw,4001.000000000,0.004762415,840120.000000000,2,2024
AFG,2024-04-01,old,98220.000000000,0.027163535,3615877.000000000,1,2024
